DATE,TIME,MHz,CPU_0,CPU_1,CPU_2,CPU_3,LOAD%,GPU
05/13/18,12:51:34,3984.00,45,43,45,45,1.2,62
05/13/18,12:51:35,3984.00,45,43,46,45,3.1,62
05/13/18,12:51:36,3984.00,45,44,46,46,1.4,62
05/13/18,12:51:37,3984.00,45,43,46,45,1.2,62
05/13/18,12:51:38,3984.00,45,43,45,45,1.1,62
05/13/18,12:51:39,3984.00,45,43,45,44,1.1,62
05/13/18,12:51:40,3984.00,44,42,46,46,0.9,62
05/13/18,12:51:41,3984.00,45,43,46,45,1.3,62
05/13/18,12:51:42,3984.00,48,49,49,50,1.8,62
05/13/18,12:51:43,3984.00,45,43,46,45,1.7,62
05/13/18,12:51:44,3984.00,45,43,46,45,1.0,62
05/13/18,12:51:45,3984.00,45,43,46,46,1.0,62
05/13/18,12:51:46,3984.00,45,43,45,45,0.9,62
05/13/18,12:51:47,3984.00,45,43,46,45,0.9,62
05/13/18,12:51:48,3984.00,45,43,46,45,0.9,62
05/13/18,12:51:49,3984.00,45,43,45,46,0.9,62
05/13/18,12:51:50,3984.00,45,43,46,45,1.1,62
05/13/18,12:51:51,3984.00,44,43,45,45,0.9,62
05/13/18,12:51:52,3984.00,50,46,51,52,1.1,62
05/13/18,12:51:53,3984.00,45,44,46,46,2.1,62
05/13/18,12:51:54,3984.00,46,45,46,46,1.4,62
05/13/18,12:51:55,3984.00,45,44,46,45,1.2,62
05/13/18,12:51:56,3984.00,45,44,46,45,1.0,62
05/13/18,12:51:57,3984.00,45,45,46,46,0.9,62
05/13/18,12:51:58,3984.00,44,46,46,46,0.9,62
05/13/18,12:51:59,3984.00,45,43,46,45,1.3,62
05/13/18,12:52:00,3984.00,45,43,45,46,1.3,62
05/13/18,12:52:01,3984.00,45,43,46,45,0.9,62
05/13/18,12:52:02,3984.00,44,43,45,44,1.0,62
05/13/18,12:52:03,3984.00,45,43,45,45,1.0,62
05/13/18,12:52:04,3984.00,45,44,45,45,1.0,62
05/13/18,12:52:05,3984.00,45,43,45,45,0.9,62
05/13/18,12:52:06,3984.00,44,43,45,46,1.1,62
05/13/18,12:52:07,3984.00,45,43,45,46,1.0,62
05/13/18,12:52:08,3984.00,45,42,46,46,0.8,62
05/13/18,12:52:09,3984.00,45,43,45,44,1.0,62
05/13/18,12:52:10,3984.00,44,42,44,45,0.9,62
05/13/18,12:52:11,3984.00,45,42,44,44,1.0,62
05/13/18,12:52:12,3984.00,44,43,45,44,1.0,62
05/13/18,12:52:13,3984.00,45,43,45,44,0.8,62
05/13/18,12:52:14,3984.00,45,43,45,45,0.8,62
05/13/18,12:52:15,3984.00,45,42,45,44,1.0,62
05/13/18,12:52:16,3984.00,44,43,46,44,1.0,62
05/13/18,12:52:17,3984.00,45,42,45,44,1.0,62
05/13/18,12:52:18,3984.00,44,42,45,44,0.9,62
05/13/18,12:52:19,3984.00,45,43,45,44,0.8,62
05/13/18,12:52:20,3984.00,45,42,45,45,0.9,62
05/13/18,12:52:21,3984.00,45,43,45,45,1.0,62
05/13/18,12:52:22,3984.00,45,43,45,45,0.9,62
05/13/18,12:52:23,3984.00,45,42,45,45,0.9,62
05/13/18,12:52:24,3984.00,44,44,45,46,0.9,62
05/13/18,12:52:25,3984.00,44,43,44,44,1.0,62
05/13/18,12:52:26,3984.00,44,42,44,44,0.9,62
05/13/18,12:52:27,3984.00,44,42,44,44,0.9,62
05/13/18,12:52:28,3984.00,44,42,44,44,0.9,62
05/13/18,12:52:29,3984.00,44,42,44,44,1.0,62
05/13/18,12:52:30,3984.00,45,42,45,44,0.9,62
05/13/18,12:52:31,3984.00,44,42,45,44,0.9,62
05/13/18,12:52:32,3984.00,44,42,44,44,0.9,62
05/13/18,12:52:33,3984.00,44,42,44,44,0.8,62
05/13/18,12:52:34,3984.00,43,42,45,44,0.9,62
05/13/18,12:52:35,3984.00,44,42,45,44,1.0,62
05/13/18,12:52:36,3984.00,44,42,45,44,0.9,62
05/13/18,12:52:37,3984.00,44,42,44,44,0.9,62
05/13/18,12:52:38,3984.00,44,42,44,44,1.0,62
05/13/18,12:52:39,3984.00,45,42,44,44,0.9,62
05/13/18,12:52:40,3984.00,45,42,44,44,0.9,62
05/13/18,12:52:41,3984.00,44,43,48,46,1.1,62
05/13/18,12:52:42,3984.00,44,42,44,44,1.1,62
05/13/18,12:52:43,3984.00,49,47,49,48,6.1,62
05/13/18,12:52:44,3984.00,52,51,56,62,5.4,62
05/13/18,12:52:45,3984.00,51,50,51,61,4.3,62
05/13/18,12:52:46,3984.00,50,50,52,60,3.2,62
05/13/18,12:52:47,3984.00,62,52,54,52,3.2,62
05/13/18,12:52:48,3984.00,52,52,53,62,3.3,62
